transaction_id,order_id,merchant_id,customer_id,transaction_date,transaction_timestamp,transaction_status,payment_method,order_amount,customer_paid_amount,merchant_received_amount,tabby_fee_amount,installment_plan,first_installment_amount,subsequent_installment_amount,authorization_to_capture_hours,capture_to_settlement_hours,risk_score,is_fraudulent
TXN_00000015,ORD_00000015,MERCH_0024,CUST_001333,2024-06-07,2024-06-07 12:29:40,settled,bnpl_4installments,356.34,356.34,345.4,10.94,4.0,89.08,89.08,1.51,13.09,0.381,False
TXN_00000016,ORD_00000016,MERCH_0018,CUST_000585,2024-06-09,2024-06-09 13:22:13,authorized,bnpl_4installments,394.28,394.28,384.07,10.21,4.0,98.57,98.57,,,0.204,False
TXN_00000017,ORD_00000017,MERCH_0035,CUST_002006,2024-03-09,2024-03-09 17:40:10,settled,bnpl_3installments,136.36,136.36,130.74,5.62,3.0,45.45,45.45,0.5,16.71,0.201,False
TXN_00000018,ORD_00000018,MERCH_0018,CUST_004563,2024-05-03,2024-05-03 10:29:24,settled,bnpl_4installments,934.49,934.49,910.29,24.2,4.0,233.62,233.62,0.97,35.04,0.555,False
TXN_00000019,ORD_00000019,MERCH_0004,CUST_001877,2024-02-08,2024-02-08 11:43:20,settled,bnpl_3installments,76.52,76.52,72.9,3.62,3.0,25.51,25.51,1.08,4.28,0.244,False
TXN_00000020,ORD_00000020,MERCH_0021,CUST_003287,2024-04-24,2024-04-24 21:02:51,authorized,bnpl_3installments,50.0,50.0,48.42,1.58,3.0,16.67,16.67,,,0.22,False
TXN_00000021,ORD_00000021,MERCH_0037,CUST_002578,2024-03-29,2024-03-29 12:04:13,settled,bnpl_3installments,184.64,184.64,176.68,7.96,3.0,61.55,61.55,1.64,18.86,0.596,False
TXN_00000022,ORD_00000022,MERCH_0026,CUST_003759,2024-05-08,2024-05-08 11:41:31,settled,bnpl_4installments,50.0,50.0,48.18,1.82,4.0,12.5,12.5,1.38,39.91,0.662,False
TXN_00000023,ORD_00000023,MERCH_0016,CUST_004599,2024-05-11,2024-05-11 10:16:08,settled,bnpl_4installments,256.5,256.5,244.26,12.24,4.0,64.12,64.12,1.5,47.3,0.485,False
TXN_00000024,ORD_00000024,MERCH_0038,CUST_003510,2024-02-17,2024-02-17 16:16:47,settled,bnpl_3installments,210.41,210.41,205.74,4.67,3.0,70.14,70.14,1.62,41.83,0.208,False
TXN_00000025,ORD_00000025,MERCH_0024,CUST_001797,2024-04-15,2024-04-15 22:37:25,settled,bnpl_3installments,369.04,369.04,357.71,11.33,3.0,123.01,123.01,1.72,10.19,0.265,False
TXN_00000026,ORD_00000026,MERCH_0006,CUST_000386,2024-05-10,2024-05-10 10:32:31,settled,bnpl_4installments,139.16,139.16,133.61,5.55,4.0,34.79,34.79,1.08,31.3,0.387,False
TXN_00000027,ORD_00000027,MERCH_0011,CUST_003459,2024-02-25,2024-02-25 21:07:09,failed,bnpl_4installments,374.89,374.89,356.48,18.41,4.0,93.72,93.72,,,0.581,False
TXN_00000028,ORD_00000028,MERCH_0025,CUST_004882,2024-03-11,2024-03-11 17:04:24,settled,bnpl_4installments,431.52,431.52,419.26,12.26,4.0,107.88,107.88,1.81,45.37,0.318,False
TXN_00000029,ORD_00000029,MERCH_0036,CUST_000095,2024-04-29,2024-04-29 15:33:16,authorized,bnpl_4installments,96.84,96.84,92.78,4.06,4.0,24.21,24.21,,,0.0,False
TXN_00000030,ORD_00000030,MERCH_0035,CUST_002186,2024-03-14,2024-03-14 18:46:07,settled,bnpl_3installments,71.07,71.07,68.14,2.93,3.0,23.69,23.69,1.95,11.95,0.128,False
TXN_00000031,ORD_00000031,MERCH_0008,CUST_002405,2024-03-01,2024-03-01 20:41:21,authorized,bnpl_4installments,669.38,669.38,645.55,23.83,4.0,167.34,167.34,,,0.368,False
TXN_00000032,ORD_00000032,MERCH_0001,CUST_002158,2024-05-23,2024-05-23 14:10:29,captured,card,50.0,50.0,48.82,1.18,,,,0.38,,0.529,False
TXN_00000033,ORD_00000033,MERCH_0033,CUST_000872,2024-04-27,2024-04-27 16:48:11,captured,card,315.47,315.47,309.1,6.37,,,,0.54,,0.236,True
TXN_00000034,ORD_00000034,MERCH_0033,CUST_004989,2024-04-16,2024-04-16 21:40:19,settled,card,50.35,50.35,49.33,1.02,,,,0.96,7.04,0.149,False
TXN_00000035,ORD_00000035,MERCH_0011,CUST_004419,2024-02-29,2024-02-29 11:09:23,settled,bnpl_3installments,132.41,132.41,125.91,6.5,3.0,44.14,44.14,0.9,46.21,0.39,False
TXN_00000036,ORD_00000036,MERCH_0001,CUST_004907,2024-06-16,2024-06-16 20:59:33,authorized,bnpl_4installments,183.02,183.02,178.68,4.34,4.0,45.76,45.76,,,0.458,False
TXN_00000037,ORD_00000037,MERCH_0008,CUST_002974,2024-06-02,2024-06-02 13:31:01,settled,card,264.04,264.04,254.64,9.4,,,,0.56,10.72,0.488,False
TXN_00000038,ORD_00000038,MERCH_0020,CUST_001962,2024-03-05,2024-03-05 22:53:51,settled,bnpl_3installments,122.51,122.51,118.86,3.65,3.0,40.84,40.84,1.21,33.1,0.061,False
TXN_00000039,ORD_00000039,MERCH_0037,CUST_000646,2024-05-10,2024-05-10 08:15:56,settled,bnpl_3installments,876.04,876.04,838.28,37.76,3.0,292.01,292.01,0.5,13.23,0.649,False
TXN_00000040,ORD_00000040,MERCH_0005,CUST_004364,2024-05-08,2024-05-08 09:46:31,settled,bnpl_4installments,605.75,605.75,588.91,16.84,4.0,151.44,151.44,1.5,29.87,0.262,False
TXN_00000041,ORD_00000041,MERCH_0031,CUST_004504,2024-05-15,2024-05-15 20:08:08,settled,bnpl_4installments,53.94,53.94,51.61,2.33,4.0,13.48,13.48,1.5,29.36,0.433,False
TXN_00000042,ORD_00000042,MERCH_0039,CUST_003467,2024-02-10,2024-02-10 10:16:33,settled,bnpl_4installments,103.8,103.8,100.6,3.2,4.0,25.95,25.95,0.29,39.6,0.123,False
TXN_00000043,ORD_00000043,MERCH_0013,CUST_002554,2024-02-07,2024-02-07 11:59:34,settled,bnpl_4installments,512.73,512.73,488.02,24.71,4.0,128.18,128.18,1.58,34.98,0.272,False
TXN_00000044,ORD_00000044,MERCH_0024,CUST_003589,2024-03-04,2024-03-04 14:42:41,settled,card,546.58,546.58,529.8,16.78,,,,1.48,37.36,0.329,False
TXN_00000045,ORD_00000045,MERCH_0008,CUST_002031,2024-04-04,2024-04-04 22:33:28,settled,bnpl_4installments,344.2,344.2,331.95,12.25,4.0,86.05,86.05,1.0,6.08,0.042,False
TXN_00000046,ORD_00000046,MERCH_0002,CUST_004820,2024-02-14,2024-02-14 11:04:21,settled,bnpl_4installments,68.44,68.44,66.05,2.39,4.0,17.11,17.11,1.6,22.86,0.318,False
TXN_00000047,ORD_00000047,MERCH_0015,CUST_000059,2024-04-20,2024-04-20 16:14:37,settled,bnpl_4installments,258.03,258.03,248.25,9.78,4.0,64.51,64.51,1.82,2.39,0.354,False
TXN_00000048,ORD_00000048,MERCH_0004,CUST_001876,2024-04-09,2024-04-09 09:45:40,settled,bnpl_3installments,62.27,62.27,59.32,2.95,3.0,20.76,20.76,0.96,37.89,0.534,False
TXN_00000049,ORD_00000049,MERCH_0022,CUST_000581,2024-03-12,2024-03-12 09:57:02,settled,card,296.27,296.27,287.94,8.33,,,,0.66,46.87,0.197,False
TXN_00000050,ORD_00000050,MERCH_0032,CUST_001756,2024-03-23,2024-03-23 16:15:17,settled,bnpl_4installments,50.0,50.0,48.7,1.3,4.0,12.5,12.5,0.54,3.28,0.52,False
TXN_00000051,ORD_00000051,MERCH_0037,CUST_004721,2024-03-30,2024-03-30 16:08:46,settled,bnpl_4installments,335.37,335.37,320.92,14.45,4.0,83.84,83.84,0.62,3.4,0.0,False
TXN_00000052,ORD_00000052,MERCH_0031,CUST_003335,2024-01-24,2024-01-24 15:15:50,settled,bnpl_4installments,289.28,289.28,276.78,12.5,4.0,72.32,72.32,1.25,36.49,0.591,False
TXN_00000053,ORD_00000053,MERCH_0028,CUST_002903,2024-06-06,2024-06-06 11:06:06,settled,bnpl_3installments,182.16,182.16,174.13,8.03,3.0,60.72,60.72,0.27,8.51,0.232,False
TXN_00000054,ORD_00000054,MERCH_0004,CUST_000807,2024-02-06,2024-02-06 14:26:29,settled,bnpl_4installments,116.9,116.9,111.37,5.53,4.0,29.23,29.23,1.18,7.53,0.213,False
TXN_00000055,ORD_00000055,MERCH_0022,CUST_000896,2024-03-09,2024-03-09 08:25:46,settled,bnpl_4installments,543.52,543.52,528.25,15.27,4.0,135.88,135.88,0.39,30.01,0.171,False
TXN_00000056,ORD_00000056,MERCH_0035,CUST_003676,2024-02-25,2024-02-25 11:12:12,captured,bnpl_3installments,84.12,84.12,80.65,3.47,3.0,28.04,28.04,1.6,,0.407,False
TXN_00000057,ORD_00000057,MERCH_0018,CUST_003790,2024-03-23,2024-03-23 10:27:11,settled,bnpl_4installments,447.83,447.83,436.23,11.6,4.0,111.96,111.96,1.67,16.93,0.0,False
TXN_00000058,ORD_00000058,MERCH_0005,CUST_003631,2024-05-12,2024-05-12 11:55:59,settled,bnpl_4installments,452.88,452.88,440.29,12.59,4.0,113.22,113.22,0.17,39.95,0.189,False
TXN_00000059,ORD_00000059,MERCH_0036,CUST_000803,2024-03-29,2024-03-29 20:55:54,captured,bnpl_4installments,797.54,797.54,764.12,33.42,4.0,199.38,199.38,1.66,,0.041,False
TXN_00000060,ORD_00000060,MERCH_0001,CUST_000765,2024-04-13,2024-04-13 08:41:34,settled,card,598.71,598.71,584.52,14.19,,,,0.48,38.96,0.292,False
TXN_00000061,ORD_00000061,MERCH_0016,CUST_001363,2024-03-10,2024-03-10 22:48:54,settled,bnpl_4installments,344.22,344.22,327.8,16.42,4.0,86.06,86.06,0.74,13.78,0.334,False
TXN_00000062,ORD_00000062,MERCH_0014,CUST_003286,2024-02-19,2024-02-19 14:31:30,settled,bnpl_3installments,50.0,50.0,47.66,2.34,3.0,16.67,16.67,0.12,30.96,0.354,False
TXN_00000063,ORD_00000063,MERCH_0025,CUST_000018,2024-01-30,2024-01-30 22:03:10,failed,bnpl_4installments,900.53,900.53,874.95,25.58,4.0,225.13,225.13,,,0.251,False
TXN_00000064,ORD_00000064,MERCH_0030,CUST_002337,2024-03-12,2024-03-12 14:16:59,settled,bnpl_3installments,332.75,332.75,316.25,16.5,3.0,110.92,110.92,0.25,25.17,0.231,False
TXN_00000065,ORD_00000065,MERCH_0036,CUST_003987,2024-03-07,2024-03-07 14:44:46,settled,bnpl_4installments,226.83,226.83,217.33,9.5,4.0,56.71,56.71,0.85,21.68,0.0,False
TXN_00000066,ORD_00000066,MERCH_0014,CUST_000480,2024-05-14,2024-05-14 10:12:18,settled,card,98.55,98.55,93.94,4.61,,,,1.48,9.88,0.364,False
TXN_00000067,ORD_00000067,MERCH_0004,CUST_002570,2024-03-17,2024-03-17 17:47:34,settled,bnpl_3installments,50.0,50.0,47.63,2.37,3.0,16.67,16.67,1.36,14.91,0.22,False
TXN_00000068,ORD_00000068,MERCH_0031,CUST_004120,2024-04-15,2024-04-15 08:03:37,settled,bnpl_4installments,60.15,60.15,57.55,2.6,4.0,15.04,15.04,0.17,7.85,0.265,False
TXN_00000069,ORD_00000069,MERCH_0011,CUST_000466,2024-03-27,2024-03-27 22:54:33,settled,bnpl_3installments,101.31,101.31,96.34,4.97,3.0,33.77,33.77,0.5,30.82,0.378,False
TXN_00000070,ORD_00000070,MERCH_0012,CUST_000562,2024-04-04,2024-04-04 16:05:54,settled,card,51.68,51.68,49.44,2.24,,,,0.9,43.75,0.305,False
TXN_00000071,ORD_00000071,MERCH_0016,CUST_003308,2024-03-22,2024-03-22 17:04:43,settled,bnpl_4installments,74.27,74.27,70.73,3.54,4.0,18.57,18.57,0.81,7.22,0.333,False
TXN_00000072,ORD_00000072,MERCH_0016,CUST_004743,2024-04-06,2024-04-06 09:56:36,settled,bnpl_3installments,726.67,726.67,692.01,34.66,3.0,242.22,242.22,1.97,40.92,0.249,False
TXN_00000073,ORD_00000073,MERCH_0006,CUST_003435,2024-02-07,2024-02-07 17:02:39,settled,bnpl_4installments,152.66,152.66,146.57,6.09,4.0,38.16,38.16,0.75,15.94,0.577,False
TXN_00000074,ORD_00000074,MERCH_0034,CUST_002592,2024-05-06,2024-05-06 18:37:36,settled,bnpl_3installments,50.0,50.0,47.78,2.22,3.0,16.67,16.67,0.21,44.73,0.269,False
TXN_00000075,ORD_00000075,MERCH_0021,CUST_001956,2024-05-21,2024-05-21 22:16:13,settled,bnpl_4installments,523.36,523.36,506.77,16.59,4.0,130.84,130.84,2.0,25.33,0.153,False
TXN_00000076,ORD_00000076,MERCH_0020,CUST_003746,2024-02-05,2024-02-05 12:25:08,settled,bnpl_4installments,399.61,399.61,387.7,11.91,4.0,99.9,99.9,1.98,4.13,0.0,False
TXN_00000077,ORD_00000077,MERCH_0005,CUST_000077,2024-05-31,2024-05-31 13:59:48,settled,bnpl_4installments,50.0,50.0,48.61,1.39,4.0,12.5,12.5,1.54,3.85,0.313,False
TXN_00000078,ORD_00000078,MERCH_0007,CUST_000601,2024-06-20,2024-06-20 15:39:36,authorized,bnpl_3installments,77.28,77.28,75.01,2.27,3.0,25.76,25.76,,,0.479,False
TXN_00000079,ORD_00000079,MERCH_0017,CUST_001086,2024-01-27,2024-01-27 16:13:32,failed,bnpl_4installments,160.91,160.91,157.26,3.65,4.0,40.23,40.23,,,0.316,False
TXN_00000080,ORD_00000080,MERCH_0005,CUST_002002,2024-04-13,2024-04-13 22:22:56,settled,card,64.85,64.85,63.05,1.8,,,,0.98,39.64,0.111,False
TXN_00000081,ORD_00000081,MERCH_0029,CUST_004451,2024-05-10,2024-05-10 13:18:10,settled,bnpl_4installments,83.24,83.24,81.39,1.85,4.0,20.81,20.81,1.3,26.21,0.423,False
TXN_00000082,ORD_00000082,MERCH_0034,CUST_000065,2024-02-14,2024-02-14 19:19:39,settled,bnpl_4installments,50.0,50.0,47.78,2.22,4.0,12.5,12.5,0.23,17.35,0.214,False
TXN_00000083,ORD_00000083,MERCH_0020,CUST_000849,2024-03-23,2024-03-23 18:52:35,failed,bnpl_3installments,50.0,50.0,48.51,1.49,3.0,16.67,16.67,,,0.353,False
TXN_00000084,ORD_00000084,MERCH_0008,CUST_000877,2024-03-18,2024-03-18 22:08:16,settled,card,188.63,188.63,181.91,6.72,,,,1.51,2.43,0.358,False
TXN_00000085,ORD_00000085,MERCH_0018,CUST_002309,2024-04-04,2024-04-04 19:35:09,settled,bnpl_4installments,168.28,168.28,163.92,4.36,4.0,42.07,42.07,1.63,39.06,0.417,False
TXN_00000086,ORD_00000086,MERCH_0022,CUST_001668,2024-03-11,2024-03-11 17:13:45,settled,card,78.38,78.38,76.18,2.2,,,,0.86,11.8,0.317,False
TXN_00000087,ORD_00000087,MERCH_0017,CUST_004141,2024-05-21,2024-05-21 18:40:54,settled,bnpl_3installments,429.66,429.66,419.91,9.75,3.0,143.22,143.22,1.86,20.37,0.533,False
TXN_00000088,ORD_00000088,MERCH_0004,CUST_000757,2024-04-29,2024-04-29 15:16:57,settled,bnpl_4installments,50.0,50.0,47.63,2.37,4.0,12.5,12.5,0.42,4.48,0.623,False
TXN_00000089,ORD_00000089,MERCH_0018,CUST_000362,2024-01-17,2024-01-17 18:27:53,settled,bnpl_4installments,50.77,50.77,49.46,1.31,4.0,12.69,12.69,1.05,31.37,0.418,False
TXN_00000090,ORD_00000090,MERCH_0009,CUST_002146,2024-04-28,2024-04-28 08:21:49,settled,bnpl_4installments,163.76,163.76,157.8,5.96,4.0,40.94,40.94,0.58,5.89,0.242,False
TXN_00000091,ORD_00000091,MERCH_0036,CUST_003504,2024-04-06,2024-04-06 10:47:28,settled,bnpl_4installments,93.34,93.34,89.43,3.91,4.0,23.34,23.34,0.22,47.88,0.432,False
TXN_00000092,ORD_00000092,MERCH_0005,CUST_001222,2024-06-07,2024-06-07 16:00:07,settled,bnpl_4installments,172.93,172.93,168.12,4.81,4.0,43.23,43.23,0.93,17.47,0.544,False
TXN_00000093,ORD_00000093,MERCH_0024,CUST_004772,2024-04-13,2024-04-13 16:02:53,settled,bnpl_4installments,94.54,94.54,91.64,2.9,4.0,23.64,23.64,1.51,30.75,0.165,False
TXN_00000094,ORD_00000094,MERCH_0009,CUST_000343,2024-05-20,2024-05-20 16:09:27,settled,bnpl_4installments,518.38,518.38,499.51,18.87,4.0,129.59,129.59,1.8,35.41,0.431,False
TXN_00000095,ORD_00000095,MERCH_0003,CUST_002932,2024-03-09,2024-03-09 12:23:57,settled,card,372.61,372.61,364.79,7.82,,,,0.95,30.79,0.312,False
TXN_00000096,ORD_00000096,MERCH_0007,CUST_002898,2024-01-15,2024-01-15 11:43:15,settled,card,337.38,337.38,327.46,9.92,,,,1.61,16.41,0.0,False
TXN_00000097,ORD_00000097,MERCH_0027,CUST_001267,2024-03-10,2024-03-10 20:35:56,settled,bnpl_3installments,50.0,50.0,48.79,1.21,3.0,16.67,16.67,0.28,43.05,0.487,False
TXN_00000098,ORD_00000098,MERCH_0011,CUST_001451,2024-05-14,2024-05-14 22:59:15,settled,bnpl_3installments,173.06,173.06,164.56,8.5,3.0,57.69,57.69,0.17,37.25,0.231,False
TXN_00000099,ORD_00000099,MERCH_0012,CUST_002722,2024-03-17,2024-03-17 22:26:01,settled,bnpl_4installments,63.47,63.47,60.72,2.75,4.0,15.87,15.87,1.34,11.55,0.515,False
TXN_00000100,ORD_00000100,MERCH_0016,CUST_002186,2024-06-09,2024-06-09 20:59:26,settled,card,464.27,464.27,442.12,22.15,,,,0.62,26.32,0.392,False
TXN_00000101,ORD_00000101,MERCH_0007,CUST_003134,2024-05-27,2024-05-27 10:50:44,settled,bnpl_4installments,79.38,79.38,77.05,2.33,4.0,19.84,19.84,0.85,23.29,0.194,False
TXN_00000102,ORD_00000102,MERCH_0031,CUST_001823,2024-03-31,2024-03-31 21:02:54,settled,bnpl_4installments,66.1,66.1,63.24,2.86,4.0,16.52,16.52,1.39,34.08,0.594,False
TXN_00000103,ORD_00000103,MERCH_0030,CUST_002865,2024-03-11,2024-03-11 11:52:58,settled,bnpl_3installments,597.02,597.02,567.41,29.61,3.0,199.01,199.01,0.58,6.71,0.666,False
TXN_00000104,ORD_00000104,MERCH_0015,CUST_001827,2024-02-27,2024-02-27 12:52:50,refunded,bnpl_3installments,50.0,50.0,48.1,1.9,3.0,16.67,16.67,,,0.618,False
TXN_00000105,ORD_00000105,MERCH_0026,CUST_002690,2024-02-14,2024-02-14 08:42:12,settled,bnpl_4installments,50.23,50.23,48.41,1.82,4.0,12.56,12.56,0.9,16.94,0.126,False
TXN_00000106,ORD_00000106,MERCH_0018,CUST_002877,2024-03-19,2024-03-19 12:55:04,settled,bnpl_4installments,50.0,50.0,48.7,1.3,4.0,12.5,12.5,1.72,12.07,0.505,False
TXN_00000107,ORD_00000107,MERCH_0035,CUST_002713,2024-03-15,2024-03-15 18:32:25,settled,card,390.68,390.68,374.58,16.1,,,,1.82,44.76,0.187,False
TXN_00000108,ORD_00000108,MERCH_0017,CUST_001463,2024-02-06,2024-02-06 08:07:56,failed,bnpl_3installments,904.3,904.3,883.77,20.53,3.0,301.43,301.43,,,0.286,False
TXN_00000109,ORD_00000109,MERCH_0007,CUST_004888,2024-02-08,2024-02-08 17:16:02,settled,bnpl_4installments,91.92,91.92,89.22,2.7,4.0,22.98,22.98,1.67,4.73,0.435,False
TXN_00000110,ORD_00000110,MERCH_0021,CUST_003575,2024-06-01,2024-06-01 14:22:46,settled,bnpl_3installments,205.25,205.25,198.74,6.51,3.0,68.42,68.42,0.49,14.18,0.138,False
TXN_00000111,ORD_00000111,MERCH_0025,CUST_004724,2024-05-20,2024-05-20 17:32:07,settled,bnpl_3installments,422.86,422.86,410.85,12.01,3.0,140.95,140.95,1.13,23.23,0.326,False
TXN_00000112,ORD_00000112,MERCH_0028,CUST_000014,2024-01-17,2024-01-17 11:16:02,settled,bnpl_3installments,274.03,274.03,261.95,12.08,3.0,91.34,91.34,0.15,47.98,0.533,False
TXN_00000113,ORD_00000113,MERCH_0035,CUST_001615,2024-04-12,2024-04-12 16:59:51,settled,bnpl_3installments,496.72,496.72,476.26,20.46,3.0,165.57,165.57,0.58,29.96,0.25,False
TXN_00000114,ORD_00000114,MERCH_0022,CUST_002572,2024-02-17,2024-02-17 13:27:04,captured,bnpl_4installments,50.0,50.0,48.6,1.4,4.0,12.5,12.5,0.15,,0.244,False
TXN_00000115,ORD_00000115,MERCH_0020,CUST_004155,2024-03-11,2024-03-11 18:54:07,settled,bnpl_3installments,380.7,380.7,369.36,11.34,3.0,126.9,126.9,1.45,46.04,0.141,False
TXN_00000116,ORD_00000116,MERCH_0021,CUST_003297,2024-03-29,2024-03-29 12:42:26,captured,bnpl_4installments,194.65,194.65,188.48,6.17,4.0,48.66,48.66,0.38,,0.712,False
TXN_00000117,ORD_00000117,MERCH_0009,CUST_001572,2024-05-03,2024-05-03 19:18:35,refunded,bnpl_4installments,72.72,72.72,70.07,2.65,4.0,18.18,18.18,,,0.188,False
TXN_00000118,ORD_00000118,MERCH_0012,CUST_004663,2024-01-19,2024-01-19 14:42:24,settled,bnpl_4installments,198.34,198.34,189.75,8.59,4.0,49.59,49.59,1.95,33.45,0.099,False
TXN_00000119,ORD_00000119,MERCH_0001,CUST_002490,2024-04-08,2024-04-08 12:25:35,settled,card,50.0,50.0,48.82,1.18,,,,0.83,4.6,0.776,False
TXN_00000120,ORD_00000120,MERCH_0038,CUST_004970,2024-03-04,2024-03-04 12:13:27,settled,bnpl_4installments,301.11,301.11,294.43,6.68,4.0,75.28,75.28,0.88,24.61,0.278,False
TXN_00000121,ORD_00000121,MERCH_0029,CUST_003623,2024-04-17,2024-04-17 18:20:29,settled,bnpl_4installments,69.31,69.31,67.77,1.54,4.0,17.33,17.33,1.37,7.65,0.311,False
TXN_00000122,ORD_00000122,MERCH_0031,CUST_001391,2024-03-10,2024-03-10 18:13:32,authorized,bnpl_4installments,157.91,157.91,151.09,6.82,4.0,39.48,39.48,,,0.465,False
TXN_00000123,ORD_00000123,MERCH_0033,CUST_002746,2024-04-22,2024-04-22 18:05:18,settled,bnpl_4installments,106.46,106.46,104.31,2.15,4.0,26.61,26.61,1.6,24.45,0.494,False
TXN_00000124,ORD_00000124,MERCH_0016,CUST_002543,2024-02-20,2024-02-20 09:52:48,settled,bnpl_4installments,126.75,126.75,120.7,6.05,4.0,31.69,31.69,1.08,22.97,0.361,False
TXN_00000125,ORD_00000125,MERCH_0010,CUST_000201,2024-03-19,2024-03-19 11:51:12,settled,bnpl_3installments,148.53,148.53,144.74,3.79,3.0,49.51,49.51,1.5,2.02,0.341,False
TXN_00000126,ORD_00000126,MERCH_0040,CUST_000597,2024-05-20,2024-05-20 08:15:30,settled,card,85.92,85.92,83.9,2.02,,,,1.05,33.92,0.185,False
TXN_00000127,ORD_00000127,MERCH_0037,CUST_001593,2024-04-11,2024-04-11 15:26:56,settled,card,130.78,130.78,125.14,5.64,,,,0.97,35.61,0.462,False
TXN_00000128,ORD_00000128,MERCH_0032,CUST_003274,2024-05-06,2024-05-06 19:44:24,settled,bnpl_4installments,115.2,115.2,112.2,3.0,4.0,28.8,28.8,0.12,11.37,0.395,False
TXN_00000129,ORD_00000129,MERCH_0001,CUST_000874,2024-02-10,2024-02-10 11:09:41,settled,card,77.48,77.48,75.64,1.84,,,,1.28,35.13,0.338,False
TXN_00000130,ORD_00000130,MERCH_0012,CUST_004244,2024-02-08,2024-02-08 20:27:14,settled,bnpl_3installments,433.46,433.46,414.69,18.77,3.0,144.49,144.49,1.68,5.44,0.48,False
TXN_00000131,ORD_00000131,MERCH_0016,CUST_000995,2024-03-30,2024-03-30 15:03:35,authorized,bnpl_4installments,70.57,70.57,67.2,3.37,4.0,17.64,17.64,,,0.387,False
TXN_00000132,ORD_00000132,MERCH_0030,CUST_004352,2024-03-08,2024-03-08 15:08:51,failed,bnpl_3installments,50.0,50.0,47.52,2.48,3.0,16.67,16.67,,,0.411,False
TXN_00000133,ORD_00000133,MERCH_0029,CUST_004136,2024-02-16,2024-02-16 16:38:20,settled,bnpl_4installments,296.41,296.41,289.83,6.58,4.0,74.1,74.1,1.51,42.68,0.359,False
TXN_00000134,ORD_00000134,MERCH_0036,CUST_003653,2024-02-29,2024-02-29 14:53:58,settled,bnpl_4installments,389.08,389.08,372.78,16.3,4.0,97.27,97.27,0.11,6.87,0.293,False
