repayment_id,transaction_id,customer_id,installment_number,installment_due_date,installment_amount,actual_payment_date,actual_payment_amount
RPY_00000126,TXN_00000045,CUST_002031,4,2024-07-03,86.05,2024-07-03,86.05
RPY_00000127,TXN_00000046,CUST_004820,1,2024-02-14,17.11,2024-02-14,17.11
RPY_00000128,TXN_00000046,CUST_004820,2,2024-03-15,17.11,2024-03-13,17.11
RPY_00000129,TXN_00000046,CUST_004820,3,2024-04-14,17.11,2024-04-12,17.11
RPY_00000130,TXN_00000046,CUST_004820,4,2024-05-14,17.11,2024-05-12,17.11
RPY_00000131,TXN_00000047,CUST_000059,1,2024-04-20,64.51,2024-04-19,64.51
RPY_00000132,TXN_00000047,CUST_000059,2,2024-05-20,64.51,2024-05-18,64.51
RPY_00000133,TXN_00000047,CUST_000059,3,2024-06-19,64.51,2024-06-19,64.51
RPY_00000134,TXN_00000047,CUST_000059,4,2024-07-19,64.51,2024-07-18,64.51
RPY_00000135,TXN_00000048,CUST_001876,1,2024-04-09,20.76,2024-04-19,21.8
RPY_00000136,TXN_00000048,CUST_001876,2,2024-05-09,20.76,2024-05-09,20.76
RPY_00000137,TXN_00000048,CUST_001876,3,2024-06-08,20.76,2024-06-06,20.76
RPY_00000138,TXN_00000050,CUST_001756,1,2024-03-23,12.5,2024-03-21,12.5
RPY_00000139,TXN_00000050,CUST_001756,2,2024-04-22,12.5,2024-04-21,12.5
RPY_00000140,TXN_00000050,CUST_001756,3,2024-05-22,12.5,2024-05-21,12.5
RPY_00000141,TXN_00000050,CUST_001756,4,2024-06-21,12.5,2024-06-20,12.5
RPY_00000142,TXN_00000051,CUST_004721,1,2024-03-30,83.84,2024-03-29,83.84
RPY_00000143,TXN_00000051,CUST_004721,2,2024-04-29,83.84,2024-04-27,83.84
RPY_00000144,TXN_00000051,CUST_004721,3,2024-05-29,83.84,2024-05-28,83.84
RPY_00000145,TXN_00000051,CUST_004721,4,2024-06-28,83.84,2024-06-28,83.84
RPY_00000146,TXN_00000052,CUST_003335,1,2024-01-24,72.32,2024-01-22,72.32
RPY_00000147,TXN_00000052,CUST_003335,2,2024-02-23,72.32,2024-02-21,72.32
RPY_00000148,TXN_00000052,CUST_003335,3,2024-03-24,72.32,,
RPY_00000149,TXN_00000052,CUST_003335,4,2024-04-23,72.32,2024-04-21,72.32
RPY_00000150,TXN_00000053,CUST_002903,1,2024-06-06,60.72,2024-06-05,60.72
RPY_00000151,TXN_00000053,CUST_002903,2,2024-07-06,60.72,2024-07-06,60.72
RPY_00000152,TXN_00000053,CUST_002903,3,2024-08-05,60.72,2024-08-05,60.72
RPY_00000153,TXN_00000054,CUST_000807,1,2024-02-06,29.23,2024-02-15,30.69
RPY_00000154,TXN_00000054,CUST_000807,2,2024-03-07,29.23,2024-03-06,29.23
RPY_00000155,TXN_00000054,CUST_000807,3,2024-04-06,29.23,2024-04-05,29.23
RPY_00000156,TXN_00000054,CUST_000807,4,2024-05-06,29.23,2024-05-05,29.23
RPY_00000157,TXN_00000055,CUST_000896,1,2024-03-09,135.88,2024-03-07,135.88
RPY_00000158,TXN_00000055,CUST_000896,2,2024-04-08,135.88,2024-04-07,135.88
RPY_00000159,TXN_00000055,CUST_000896,3,2024-05-08,135.88,2024-05-06,135.88
RPY_00000160,TXN_00000055,CUST_000896,4,2024-06-07,135.88,2024-06-05,135.88
RPY_00000161,TXN_00000056,CUST_003676,1,2024-02-25,28.04,,
RPY_00000162,TXN_00000056,CUST_003676,2,2024-03-26,28.04,2024-03-24,28.04
RPY_00000163,TXN_00000056,CUST_003676,3,2024-04-25,28.04,2024-04-25,28.04
RPY_00000164,TXN_00000057,CUST_003790,1,2024-03-23,111.96,2024-03-23,111.96
RPY_00000165,TXN_00000057,CUST_003790,2,2024-04-22,111.96,2024-04-22,111.96
RPY_00000166,TXN_00000057,CUST_003790,3,2024-05-22,111.96,2024-05-22,111.96
RPY_00000167,TXN_00000057,CUST_003790,4,2024-06-21,111.96,2024-06-21,111.96
RPY_00000168,TXN_00000058,CUST_003631,1,2024-05-12,113.22,2024-05-12,113.22
RPY_00000169,TXN_00000058,CUST_003631,2,2024-06-11,113.22,2024-06-10,113.22
RPY_00000170,TXN_00000058,CUST_003631,3,2024-07-11,113.22,,
RPY_00000171,TXN_00000058,CUST_003631,4,2024-08-10,113.22,2024-08-08,113.22
RPY_00000172,TXN_00000059,CUST_000803,1,2024-03-29,199.38,2024-03-28,199.38
RPY_00000173,TXN_00000059,CUST_000803,2,2024-04-28,199.38,2024-04-28,199.38
RPY_00000174,TXN_00000059,CUST_000803,3,2024-05-28,199.38,2024-05-26,199.38
RPY_00000175,TXN_00000059,CUST_000803,4,2024-06-27,199.38,2024-06-26,199.38
RPY_00000176,TXN_00000061,CUST_001363,1,2024-03-10,86.06,2024-03-08,86.06
RPY_00000177,TXN_00000061,CUST_001363,2,2024-04-09,86.06,2024-04-08,86.06
RPY_00000178,TXN_00000061,CUST_001363,3,2024-05-09,86.06,2024-05-07,86.06
RPY_00000179,TXN_00000061,CUST_001363,4,2024-06-08,86.06,2024-06-08,86.06
RPY_00000180,TXN_00000062,CUST_003286,1,2024-02-19,16.67,2024-02-19,16.67
RPY_00000181,TXN_00000062,CUST_003286,2,2024-03-20,16.67,2024-03-19,16.67
RPY_00000182,TXN_00000062,CUST_003286,3,2024-04-19,16.67,2024-04-18,16.67
RPY_00000183,TXN_00000063,CUST_000018,1,2024-01-30,225.13,2024-01-29,225.13
RPY_00000184,TXN_00000063,CUST_000018,2,2024-02-29,225.13,2024-02-29,225.13
RPY_00000185,TXN_00000063,CUST_000018,3,2024-03-30,225.13,2024-03-28,225.13
RPY_00000186,TXN_00000063,CUST_000018,4,2024-04-29,225.13,2024-04-29,225.13
RPY_00000187,TXN_00000064,CUST_002337,1,2024-03-12,110.92,2024-03-11,110.92
RPY_00000188,TXN_00000064,CUST_002337,2,2024-04-11,110.92,2024-04-10,110.92
RPY_00000189,TXN_00000064,CUST_002337,3,2024-05-11,110.92,2024-05-09,110.92
RPY_00000190,TXN_00000065,CUST_003987,1,2024-03-07,56.71,2024-03-06,56.71
RPY_00000191,TXN_00000065,CUST_003987,2,2024-04-06,56.71,2024-04-20,59.55
RPY_00000192,TXN_00000065,CUST_003987,3,2024-05-06,56.71,2024-05-05,56.71
RPY_00000193,TXN_00000065,CUST_003987,4,2024-06-05,56.71,2024-06-03,56.71
RPY_00000194,TXN_00000067,CUST_002570,1,2024-03-17,16.67,2024-03-16,16.67
RPY_00000195,TXN_00000067,CUST_002570,2,2024-04-16,16.67,2024-04-23,17.5
RPY_00000196,TXN_00000067,CUST_002570,3,2024-05-16,16.67,2024-05-15,16.67
RPY_00000197,TXN_00000068,CUST_004120,1,2024-04-15,15.04,2024-04-13,15.04
RPY_00000198,TXN_00000068,CUST_004120,2,2024-05-15,15.04,2024-05-14,15.04
RPY_00000199,TXN_00000068,CUST_004120,3,2024-06-14,15.04,2024-06-12,15.04
RPY_00000200,TXN_00000068,CUST_004120,4,2024-07-14,15.04,2024-07-29,15.79
RPY_00000201,TXN_00000069,CUST_000466,1,2024-03-27,33.77,2024-03-27,33.77
RPY_00000202,TXN_00000069,CUST_000466,2,2024-04-26,33.77,2024-04-26,33.77
RPY_00000203,TXN_00000069,CUST_000466,3,2024-05-26,33.77,2024-05-26,33.77
RPY_00000204,TXN_00000071,CUST_003308,1,2024-03-22,18.57,2024-03-20,18.57
RPY_00000205,TXN_00000071,CUST_003308,2,2024-04-21,18.57,2024-04-21,18.57
RPY_00000206,TXN_00000071,CUST_003308,3,2024-05-21,18.57,2024-05-28,19.5
RPY_00000207,TXN_00000071,CUST_003308,4,2024-06-20,18.57,2024-06-20,18.57
RPY_00000208,TXN_00000072,CUST_004743,1,2024-04-06,242.22,2024-04-04,242.22
RPY_00000209,TXN_00000072,CUST_004743,2,2024-05-06,242.22,2024-05-06,242.22
RPY_00000210,TXN_00000072,CUST_004743,3,2024-06-05,242.22,2024-06-05,242.22
RPY_00000211,TXN_00000073,CUST_003435,1,2024-02-07,38.16,2024-02-06,38.16
RPY_00000212,TXN_00000073,CUST_003435,2,2024-03-08,38.16,2024-03-07,38.16
RPY_00000213,TXN_00000073,CUST_003435,3,2024-04-07,38.16,2024-04-05,38.16
RPY_00000214,TXN_00000073,CUST_003435,4,2024-05-07,38.16,,
RPY_00000215,TXN_00000074,CUST_002592,1,2024-05-06,16.67,2024-05-06,16.67
RPY_00000216,TXN_00000074,CUST_002592,2,2024-06-05,16.67,2024-06-03,16.67
RPY_00000217,TXN_00000074,CUST_002592,3,2024-07-05,16.67,2024-07-03,16.67
RPY_00000218,TXN_00000075,CUST_001956,1,2024-05-21,130.84,2024-05-22,137.38
RPY_00000219,TXN_00000075,CUST_001956,2,2024-06-20,130.84,2024-06-19,130.84
RPY_00000220,TXN_00000075,CUST_001956,3,2024-07-20,130.84,2024-07-30,137.38
RPY_00000221,TXN_00000075,CUST_001956,4,2024-08-19,130.84,2024-08-18,130.84
RPY_00000222,TXN_00000076,CUST_003746,1,2024-02-05,99.9,2024-02-04,99.9
RPY_00000223,TXN_00000076,CUST_003746,2,2024-03-06,99.9,2024-03-04,99.9
RPY_00000224,TXN_00000076,CUST_003746,3,2024-04-05,99.9,2024-04-04,99.9
RPY_00000225,TXN_00000076,CUST_003746,4,2024-05-05,99.9,2024-05-05,99.9
RPY_00000226,TXN_00000077,CUST_000077,1,2024-05-31,12.5,2024-05-29,12.5
RPY_00000227,TXN_00000077,CUST_000077,2,2024-06-30,12.5,2024-06-30,12.5
RPY_00000228,TXN_00000077,CUST_000077,3,2024-07-30,12.5,2024-07-28,12.5
RPY_00000229,TXN_00000077,CUST_000077,4,2024-08-29,12.5,2024-08-28,12.5
RPY_00000230,TXN_00000078,CUST_000601,1,2024-06-20,25.76,2024-06-20,25.76
RPY_00000231,TXN_00000078,CUST_000601,2,2024-07-20,25.76,2024-07-19,25.76
RPY_00000232,TXN_00000078,CUST_000601,3,2024-08-19,25.76,2024-08-17,25.76
RPY_00000233,TXN_00000079,CUST_001086,1,2024-01-27,40.23,,
RPY_00000234,TXN_00000079,CUST_001086,2,2024-02-26,40.23,2024-02-26,40.23
RPY_00000235,TXN_00000079,CUST_001086,3,2024-03-27,40.23,2024-03-26,40.23
RPY_00000236,TXN_00000079,CUST_001086,4,2024-04-26,40.23,2024-04-24,40.23
RPY_00000237,TXN_00000081,CUST_004451,1,2024-05-10,20.81,2024-05-10,20.81
RPY_00000238,TXN_00000081,CUST_004451,2,2024-06-09,20.81,2024-06-18,21.85
RPY_00000239,TXN_00000081,CUST_004451,3,2024-07-09,20.81,,
RPY_00000240,TXN_00000081,CUST_004451,4,2024-08-08,20.81,2024-08-12,21.85
RPY_00000241,TXN_00000082,CUST_000065,1,2024-02-14,12.5,2024-02-12,12.5
RPY_00000242,TXN_00000082,CUST_000065,2,2024-03-15,12.5,2024-03-15,12.5
RPY_00000243,TXN_00000082,CUST_000065,3,2024-04-14,12.5,2024-04-12,12.5
RPY_00000244,TXN_00000082,CUST_000065,4,2024-05-14,12.5,2024-05-25,13.12
RPY_00000245,TXN_00000083,CUST_000849,1,2024-03-23,16.67,2024-03-22,16.67
RPY_00000246,TXN_00000083,CUST_000849,2,2024-04-22,16.67,2024-04-22,16.67
RPY_00000247,TXN_00000083,CUST_000849,3,2024-05-22,16.67,2024-05-20,16.67
RPY_00000248,TXN_00000085,CUST_002309,1,2024-04-04,42.07,2024-04-02,42.07
RPY_00000249,TXN_00000085,CUST_002309,2,2024-05-04,42.07,2024-05-04,42.07
RPY_00000250,TXN_00000085,CUST_002309,3,2024-06-03,42.07,2024-06-01,42.07
RPY_00000251,TXN_00000085,CUST_002309,4,2024-07-03,42.07,2024-07-02,42.07
RPY_00000252,TXN_00000087,CUST_004141,1,2024-05-21,143.22,2024-05-21,143.22
RPY_00000253,TXN_00000087,CUST_004141,2,2024-06-20,143.22,2024-06-26,150.38
RPY_00000254,TXN_00000087,CUST_004141,3,2024-07-20,143.22,2024-07-19,143.22
RPY_00000255,TXN_00000088,CUST_000757,1,2024-04-29,12.5,2024-04-29,12.5
RPY_00000256,TXN_00000088,CUST_000757,2,2024-05-29,12.5,2024-05-31,13.12
RPY_00000257,TXN_00000088,CUST_000757,3,2024-06-28,12.5,2024-06-26,12.5
RPY_00000258,TXN_00000088,CUST_000757,4,2024-07-28,12.5,2024-07-26,12.5
RPY_00000259,TXN_00000089,CUST_000362,1,2024-01-17,12.69,2024-01-17,12.69
RPY_00000260,TXN_00000089,CUST_000362,2,2024-02-16,12.69,2024-02-14,12.69
RPY_00000261,TXN_00000089,CUST_000362,3,2024-03-17,12.69,2024-03-24,13.32
RPY_00000262,TXN_00000089,CUST_000362,4,2024-04-16,12.69,2024-04-16,12.69
RPY_00000263,TXN_00000090,CUST_002146,1,2024-04-28,40.94,2024-04-27,40.94
RPY_00000264,TXN_00000090,CUST_002146,2,2024-05-28,40.94,2024-05-26,40.94
RPY_00000265,TXN_00000090,CUST_002146,3,2024-06-27,40.94,2024-06-25,40.94
RPY_00000266,TXN_00000090,CUST_002146,4,2024-07-27,40.94,2024-07-25,40.94
RPY_00000267,TXN_00000091,CUST_003504,1,2024-04-06,23.34,2024-04-05,23.34
RPY_00000268,TXN_00000091,CUST_003504,2,2024-05-06,23.34,2024-05-10,24.51
RPY_00000269,TXN_00000091,CUST_003504,3,2024-06-05,23.34,2024-06-04,23.34
RPY_00000270,TXN_00000091,CUST_003504,4,2024-07-05,23.34,2024-07-05,23.34
RPY_00000271,TXN_00000092,CUST_001222,1,2024-06-07,43.23,2024-06-07,43.23
RPY_00000272,TXN_00000092,CUST_001222,2,2024-07-07,43.23,,
RPY_00000273,TXN_00000092,CUST_001222,3,2024-08-06,43.23,2024-08-04,43.23
RPY_00000274,TXN_00000092,CUST_001222,4,2024-09-05,43.23,2024-09-16,45.39
RPY_00000275,TXN_00000093,CUST_004772,1,2024-04-13,23.64,2024-04-11,23.64
RPY_00000276,TXN_00000093,CUST_004772,2,2024-05-13,23.64,2024-05-17,24.82
RPY_00000277,TXN_00000093,CUST_004772,3,2024-06-12,23.64,2024-06-12,23.64
RPY_00000278,TXN_00000093,CUST_004772,4,2024-07-12,23.64,2024-07-10,23.64
RPY_00000279,TXN_00000094,CUST_000343,1,2024-05-20,129.59,2024-05-19,129.59
RPY_00000280,TXN_00000094,CUST_000343,2,2024-06-19,129.59,2024-06-18,129.59
RPY_00000281,TXN_00000094,CUST_000343,3,2024-07-19,129.59,2024-07-19,129.59
RPY_00000282,TXN_00000094,CUST_000343,4,2024-08-18,129.59,2024-08-17,129.59
RPY_00000283,TXN_00000097,CUST_001267,1,2024-03-10,16.67,2024-03-12,17.5
RPY_00000284,TXN_00000097,CUST_001267,2,2024-04-09,16.67,2024-04-09,16.67
RPY_00000285,TXN_00000097,CUST_001267,3,2024-05-09,16.67,2024-05-08,16.67
RPY_00000286,TXN_00000098,CUST_001451,1,2024-05-14,57.69,2024-05-12,57.69
RPY_00000287,TXN_00000098,CUST_001451,2,2024-06-13,57.69,2024-06-11,57.69
RPY_00000288,TXN_00000098,CUST_001451,3,2024-07-13,57.69,2024-07-11,57.69
RPY_00000289,TXN_00000099,CUST_002722,1,2024-03-17,15.87,,
RPY_00000290,TXN_00000099,CUST_002722,2,2024-04-16,15.87,2024-04-15,15.87
RPY_00000291,TXN_00000099,CUST_002722,3,2024-05-16,15.87,2024-05-15,15.87
RPY_00000292,TXN_00000099,CUST_002722,4,2024-06-15,15.87,2024-06-15,15.87
RPY_00000293,TXN_00000101,CUST_003134,1,2024-05-27,19.84,2024-05-25,19.84
RPY_00000294,TXN_00000101,CUST_003134,2,2024-06-26,19.84,2024-06-24,19.84
RPY_00000295,TXN_00000101,CUST_003134,3,2024-07-26,19.84,2024-07-26,19.84
RPY_00000296,TXN_00000101,CUST_003134,4,2024-08-25,19.84,2024-08-24,19.84
RPY_00000297,TXN_00000102,CUST_001823,1,2024-03-31,16.52,2024-03-29,16.52
RPY_00000298,TXN_00000102,CUST_001823,2,2024-04-30,16.52,2024-04-30,16.52
